gene	sample	condition	age	cpm
ENSOCUG00000000557	rabA443	RHDV-1_24	adult	45.9381286676163
ENSOCUG00000000557	rabA444	RHDV-1_12	adult	3.7240572480583
ENSOCUG00000000557	rabA445	control	adult	2.30932875241569
ENSOCUG00000000557	rabA446	control	adult	1.60770233635993
ENSOCUG00000000557	rabA447	control	adult	5.01978535267632
ENSOCUG00000000557	rabA448	RHDV-1_24	adult	150.102752208857
ENSOCUG00000000557	rabA449	RHDV-1_24	adult	81.7712874122758
ENSOCUG00000000557	rabA450	RHDV-1_24	adult	4.7491955846377
ENSOCUG00000000557	rabA451	RHDV-1_12	adult	2.18467121644005
ENSOCUG00000000557	rabA452	RHDV-1_12	adult	7.02744990108928
ENSOCUG00000000557	rabK10	RHDV-1_24	kitten	3.23885623160615
ENSOCUG00000000557	rabK11	control	kitten	2.57044450947116
ENSOCUG00000000557	rabK12	control	kitten	2.77443371325034
ENSOCUG00000000557	rabK13	RHDV-1_12	kitten	1.28639768196408
ENSOCUG00000000557	rabK14	control	kitten	2.88236591258956
ENSOCUG00000000557	rabK1	RHDV-1_12	kitten	6.79657285018313
ENSOCUG00000000557	rabK2	control	kitten	9.61255904752008
ENSOCUG00000000557	rabK375	RHDV-2_24	kitten	51.1144938808514
ENSOCUG00000000557	rabK376	RHDV-2_24	kitten	56.1465385166866
ENSOCUG00000000557	rabK377	RHDV-2_24	kitten	34.4519607299643
ENSOCUG00000000557	rabK378	RHDV-2_24	kitten	85.7567924179282
ENSOCUG00000000557	rabK379	RHDV-2_12	kitten	2.09697878059353
ENSOCUG00000000557	rabK380	RHDV-2_12	kitten	6.14320452168353
ENSOCUG00000000557	rabK381	RHDV-2_12	kitten	5.79945074274888
ENSOCUG00000000557	rabK3	control	kitten	10.0922340457001
ENSOCUG00000000557	rabK4	RHDV-1_24	kitten	40.8407504968091
ENSOCUG00000000557	rabK5	RHDV-1_12	kitten	5.17063352091558
ENSOCUG00000000557	rabK6	RHDV-1_24	kitten	15.243955313004
ENSOCUG00000000557	rabK7	RHDV-1_12	kitten	4.99437719110061
ENSOCUG00000000557	rabK8	RHDV-1_24	kitten	25.2571766763094
ENSOCUG00000000557	rabK9	control	kitten	2.74013828545024
ENSOCUG00000000619	rabA130	control	adult	16.0448636997376
ENSOCUG00000000619	rabA440	control	adult	17.3280750390124
ENSOCUG00000000619	rabA443	RHDV-1_24	adult	258.236558682979
ENSOCUG00000000619	rabA444	RHDV-1_12	adult	17.4050675593462
ENSOCUG00000000619	rabA445	control	adult	13.6551613186319
ENSOCUG00000000619	rabA446	control	adult	19.5496604101368
ENSOCUG00000000619	rabA447	control	adult	40.5900923141139
ENSOCUG00000000619	rabA448	RHDV-1_24	adult	363.480669283275
ENSOCUG00000000619	rabA449	RHDV-1_24	adult	318.945262222898
ENSOCUG00000000619	rabA450	RHDV-1_24	adult	43.4672138254976
ENSOCUG00000000619	rabA451	RHDV-1_12	adult	18.3832090163858
ENSOCUG00000000619	rabA452	RHDV-1_12	adult	11.7592661678227
ENSOCUG00000000619	rabK10	RHDV-1_24	kitten	18.3535186457682
ENSOCUG00000000619	rabK11	control	kitten	10.2817780378847
ENSOCUG00000000619	rabK12	control	kitten	8.32330113975102
ENSOCUG00000000619	rabK13	RHDV-1_12	kitten	10.3524384881871
ENSOCUG00000000619	rabK14	control	kitten	9.1755314884101
ENSOCUG00000000619	rabK1	RHDV-1_12	kitten	22.5109419241734
ENSOCUG00000000619	rabK2	control	kitten	41.346327697987
ENSOCUG00000000619	rabK375	RHDV-2_24	kitten	361.123607851488
ENSOCUG00000000619	rabK376	RHDV-2_24	kitten	202.285222017992
ENSOCUG00000000619	rabK377	RHDV-2_24	kitten	281.635517687692
ENSOCUG00000000619	rabK378	RHDV-2_24	kitten	308.507194117135
ENSOCUG00000000619	rabK379	RHDV-2_12	kitten	28.8700334444505
ENSOCUG00000000619	rabK380	RHDV-2_12	kitten	20.2858336363507
ENSOCUG00000000619	rabK381	RHDV-2_12	kitten	6.17121040574561
ENSOCUG00000000619	rabK3	control	kitten	17.4361364985979
ENSOCUG00000000619	rabK4	RHDV-1_24	kitten	129.589175408665
ENSOCUG00000000619	rabK5	RHDV-1_12	kitten	16.043461018168
ENSOCUG00000000619	rabK6	RHDV-1_24	kitten	50.5200313898915
ENSOCUG00000000619	rabK7	RHDV-1_12	kitten	14.8593040396382
ENSOCUG00000000619	rabK8	RHDV-1_24	kitten	88.9070250543039
ENSOCUG00000000619	rabK9	control	kitten	13.081950524085
ENSOCUG00000000716	rabA130	control	adult	1.10361496347401
ENSOCUG00000000716	rabA440	control	adult	2.55478029421336
ENSOCUG00000000716	rabA443	RHDV-1_24	adult	49.7820598729999
ENSOCUG00000000716	rabA444	RHDV-1_12	adult	1.25441928355648
ENSOCUG00000000716	rabA445	control	adult	1.10446157724229
ENSOCUG00000000716	rabA446	control	adult	2.05785899054071
ENSOCUG00000000716	rabA447	control	adult	4.80388060632465
ENSOCUG00000000716	rabA448	RHDV-1_24	adult	115.96541017645
ENSOCUG00000000716	rabA449	RHDV-1_24	adult	61.6609773004734
ENSOCUG00000000716	rabA450	RHDV-1_24	adult	7.56651499925329
ENSOCUG00000000716	rabA451	RHDV-1_12	adult	2.87737184604299
ENSOCUG00000000716	rabA452	RHDV-1_12	adult	1.73343764226869
ENSOCUG00000000716	rabK10	RHDV-1_24	kitten	2.8609896712521
ENSOCUG00000000716	rabK11	control	kitten	1.8884898436931
ENSOCUG00000000716	rabK12	control	kitten	3.29932657791932
ENSOCUG00000000716	rabK13	RHDV-1_12	kitten	2.63405239640264
ENSOCUG00000000716	rabK14	control	kitten	3.07452364009553
ENSOCUG00000000716	rabK1	RHDV-1_12	kitten	6.45025066673431
ENSOCUG00000000716	rabK2	control	kitten	10.5984625395734
ENSOCUG00000000716	rabK375	RHDV-2_24	kitten	55.0777613653415
ENSOCUG00000000716	rabK376	RHDV-2_24	kitten	39.0266310853197
ENSOCUG00000000716	rabK377	RHDV-2_24	kitten	30.7474488235165
ENSOCUG00000000716	rabK378	RHDV-2_24	kitten	64.9361777914784
ENSOCUG00000000716	rabK379	RHDV-2_12	kitten	1.65807624512047
ENSOCUG00000000716	rabK380	RHDV-2_12	kitten	1.85622007130006
ENSOCUG00000000716	rabK381	RHDV-2_12	kitten	2.00750218018231
ENSOCUG00000000716	rabK3	control	kitten	3.96480623223931
ENSOCUG00000000716	rabK4	RHDV-1_24	kitten	47.3006993545846
ENSOCUG00000000716	rabK5	RHDV-1_12	kitten	4.05918893230756
ENSOCUG00000000716	rabK6	RHDV-1_24	kitten	15.7814024554497
ENSOCUG00000000716	rabK7	RHDV-1_12	kitten	2.43527482871848
ENSOCUG00000000716	rabK8	RHDV-1_24	kitten	22.8328403461227
ENSOCUG00000000716	rabK9	control	kitten	3.66824964019952
ENSOCUG00000000771	rabA130	control	adult	0.254680376186311
ENSOCUG00000000771	rabA440	control	adult	0.388770914336816
ENSOCUG00000000771	rabA443	RHDV-1_24	adult	1.32332057890253
ENSOCUG00000000771	rabA444	RHDV-1_12	adult	0.23520361566684
ENSOCUG00000000771	rabA445	control	adult	0.251013994827793
ENSOCUG00000000771	rabA446	control	adult	0.128616186908795
ENSOCUG00000000771	rabA447	control	adult	0.269880932939587
ENSOCUG00000000771	rabA448	RHDV-1_24	adult	1.24987979981354
ENSOCUG00000000771	rabA449	RHDV-1_24	adult	0.744826300437125
ENSOCUG00000000771	rabA450	RHDV-1_24	adult	1.08668034563744
ENSOCUG00000000771	rabA451	RHDV-1_12	adult	0.0532846638156109
ENSOCUG00000000771	rabA452	RHDV-1_12	adult	0.187398664029048
ENSOCUG00000000771	rabK10	RHDV-1_24	kitten	0.161942811580308
ENSOCUG00000000771	rabK11	control	kitten	0.36720635849588
ENSOCUG00000000771	rabK12	control	kitten	0.374923474763559
ENSOCUG00000000771	rabK13	RHDV-1_12	kitten	0.49005625979584
ENSOCUG00000000771	rabK14	control	kitten	0.0480394318764927
ENSOCUG00000000771	rabK1	RHDV-1_12	kitten	0.346322183448822
ENSOCUG00000000771	rabK2	control	kitten	0.739427619040006
ENSOCUG00000000771	rabK375	RHDV-2_24	kitten	3.55528406696914
ENSOCUG00000000771	rabK376	RHDV-2_24	kitten	1.80209551909124
ENSOCUG00000000771	rabK377	RHDV-2_24	kitten	1.99117514971568
ENSOCUG00000000771	rabK378	RHDV-2_24	kitten	5.85391193845112
ENSOCUG00000000771	rabK379	RHDV-2_12	kitten	0.0487669483858961
ENSOCUG00000000771	rabK380	RHDV-2_12	kitten	1.10489289958337
ENSOCUG00000000771	rabK381	RHDV-2_12	kitten	0.223055797798034
ENSOCUG00000000771	rabK3	control	kitten	0.180218465101787
ENSOCUG00000000771	rabK4	RHDV-1_24	kitten	0.650330421923712
ENSOCUG00000000771	rabK5	RHDV-1_12	kitten	0.144971033296698
ENSOCUG00000000771	rabK6	RHDV-1_24	kitten	0.439729480182808
ENSOCUG00000000771	rabK7	RHDV-1_12	kitten	0.206379222772752
ENSOCUG00000000771	rabK8	RHDV-1_24	kitten	0.352630738936257
ENSOCUG00000000771	rabK9	control	kitten	0.97230713354686
ENSOCUG00000000931	rabA130	control	adult	2.12233646821925
ENSOCUG00000000931	rabA440	control	adult	2.16600937987654
ENSOCUG00000000931	rabA443	RHDV-1_24	adult	7.43580134811897
ENSOCUG00000000931	rabA444	RHDV-1_12	adult	2.66564097755752
ENSOCUG00000000931	rabA445	control	adult	1.4558811700012
ENSOCUG00000000931	rabA446	control	adult	4.30864226144462
ENSOCUG00000000931	rabA447	control	adult	1.67326178422544
ENSOCUG00000000931	rabA448	RHDV-1_24	adult	8.00704246755549
ENSOCUG00000000931	rabA449	RHDV-1_24	adult	5.26698598166253
ENSOCUG00000000931	rabA450	RHDV-1_24	adult	2.0123710104397
ENSOCUG00000000931	rabA451	RHDV-1_12	adult	2.71751785459616
ENSOCUG00000000931	rabA452	RHDV-1_12	adult	2.81097996043571
ENSOCUG00000000931	rabK10	RHDV-1_24	kitten	2.26719936212431
ENSOCUG00000000931	rabK11	control	kitten	2.88519281675335
ENSOCUG00000000931	rabK12	control	kitten	3.89920413754102
ENSOCUG00000000931	rabK13	RHDV-1_12	kitten	4.22673524073912
ENSOCUG00000000931	rabK14	control	kitten	2.5941293213306
ENSOCUG00000000931	rabK1	RHDV-1_12	kitten	5.54115493518115
ENSOCUG00000000931	rabK2	control	kitten	5.23761230153338
ENSOCUG00000000931	rabK375	RHDV-2_24	kitten	12.1812191802713
ENSOCUG00000000931	rabK376	RHDV-2_24	kitten	5.46260204224533
ENSOCUG00000000931	rabK377	RHDV-2_24	kitten	10.1411013439008
ENSOCUG00000000931	rabK378	RHDV-2_24	kitten	10.5008317246443
ENSOCUG00000000931	rabK379	RHDV-2_12	kitten	3.60875418055631
ENSOCUG00000000931	rabK380	RHDV-2_12	kitten	2.78433010695009
ENSOCUG00000000931	rabK381	RHDV-2_12	kitten	1.41268671938755
ENSOCUG00000000931	rabK3	control	kitten	4.00986084851476
ENSOCUG00000000931	rabK4	RHDV-1_24	kitten	4.89915584515863
ENSOCUG00000000931	rabK5	RHDV-1_12	kitten	3.38265744358963
ENSOCUG00000000931	rabK6	RHDV-1_24	kitten	3.810988828251
ENSOCUG00000000931	rabK7	RHDV-1_12	kitten	2.84803327426398
ENSOCUG00000000931	rabK8	RHDV-1_24	kitten	5.37761876877793
