gene	sample	condition	age	cpm
ENSOCUG00000000149	rabA449	RHDV-1_24	adult	11.2787982637622
ENSOCUG00000000149	rabA450	RHDV-1_24	adult	7.32503047800052
ENSOCUG00000000149	rabA451	RHDV-1_12	adult	7.24671427892308
ENSOCUG00000000149	rabA452	RHDV-1_12	adult	10.728573515663
ENSOCUG00000000149	rabK10	RHDV-1_24	kitten	7.44936933269415
ENSOCUG00000000149	rabK11	control	kitten	10.229319986671
ENSOCUG00000000149	rabK12	control	kitten	10.0479491236634
ENSOCUG00000000149	rabK13	RHDV-1_12	kitten	11.0262658454064
ENSOCUG00000000149	rabK14	control	kitten	8.35886114650972
ENSOCUG00000000149	rabK1	RHDV-1_12	kitten	13.4632748815729
ENSOCUG00000000149	rabK2	control	kitten	15.2198851585735
ENSOCUG00000000149	rabK375	RHDV-2_24	kitten	28.8502559532741
ENSOCUG00000000149	rabK376	RHDV-2_24	kitten	13.8536093030139
ENSOCUG00000000149	rabK377	RHDV-2_24	kitten	23.6625698024352
ENSOCUG00000000149	rabK378	RHDV-2_24	kitten	24.8036887289011
ENSOCUG00000000149	rabK379	RHDV-2_12	kitten	15.8492582254162
ENSOCUG00000000149	rabK380	RHDV-2_12	kitten	13.4796933749171
ENSOCUG00000000149	rabK381	RHDV-2_12	kitten	4.53546788856002
ENSOCUG00000000149	rabK3	control	kitten	14.1922041267657
ENSOCUG00000000149	rabK4	RHDV-1_24	kitten	20.4637306098661
ENSOCUG00000000149	rabK5	RHDV-1_12	kitten	10.0513249752378
ENSOCUG00000000149	rabK6	RHDV-1_24	kitten	11.3352488224902
ENSOCUG00000000149	rabK7	RHDV-1_12	kitten	9.53472009210116
ENSOCUG00000000149	rabK8	RHDV-1_24	kitten	11.5486567001624
ENSOCUG00000000149	rabK9	control	kitten	12.551601178514
ENSOCUG00000000165	rabA130	control	adult	1.74031590393979
ENSOCUG00000000165	rabA440	control	adult	1.61062235939538
ENSOCUG00000000165	rabA443	RHDV-1_24	adult	3.96996173670758
ENSOCUG00000000165	rabA444	RHDV-1_12	adult	1.13681747572306
ENSOCUG00000000165	rabA445	control	adult	2.86155954103684
ENSOCUG00000000165	rabA446	control	adult	3.34402085962866
ENSOCUG00000000165	rabA447	control	adult	6.09930908443467
ENSOCUG00000000165	rabA448	RHDV-1_24	adult	2.46070085588291
ENSOCUG00000000165	rabA449	RHDV-1_24	adult	0.851230057642429
ENSOCUG00000000165	rabA450	RHDV-1_24	adult	0.643958723340705
ENSOCUG00000000165	rabA451	RHDV-1_12	adult	0.319707982893665
ENSOCUG00000000165	rabA452	RHDV-1_12	adult	1.73343764226869
ENSOCUG00000000165	rabK10	RHDV-1_24	kitten	14.3589292934539
ENSOCUG00000000165	rabK11	control	kitten	17.678363259016
ENSOCUG00000000165	rabK12	control	kitten	15.1469083804478
ENSOCUG00000000165	rabK13	RHDV-1_12	kitten	27.2593794511436
ENSOCUG00000000165	rabK14	control	kitten	17.7265503624258
ENSOCUG00000000165	rabK1	RHDV-1_12	kitten	27.2728719465947
ENSOCUG00000000165	rabK2	control	kitten	13.0016023014534
ENSOCUG00000000165	rabK375	RHDV-2_24	kitten	2.97245061336764
ENSOCUG00000000165	rabK376	RHDV-2_24	kitten	3.88576846304049
ENSOCUG00000000165	rabK377	RHDV-2_24	kitten	11.1135357193433
ENSOCUG00000000165	rabK378	RHDV-2_24	kitten	3.0174803806449
ENSOCUG00000000165	rabK379	RHDV-2_12	kitten	4.77916094181782
ENSOCUG00000000165	rabK380	RHDV-2_12	kitten	3.44726584670011
ENSOCUG00000000165	rabK381	RHDV-2_12	kitten	9.88880703571284
ENSOCUG00000000165	rabK3	control	kitten	6.62302859249067
ENSOCUG00000000165	rabK4	RHDV-1_24	kitten	5.07257729100495
ENSOCUG00000000165	rabK5	RHDV-1_12	kitten	13.144040352234
ENSOCUG00000000165	rabK6	RHDV-1_24	kitten	15.0973788196097
ENSOCUG00000000165	rabK7	RHDV-1_12	kitten	11.5985123198287
ENSOCUG00000000165	rabK8	RHDV-1_24	kitten	8.15458583790095
ENSOCUG00000000165	rabK9	control	kitten	16.6618086066894
ENSOCUG00000000185	rabA130	control	adult	3.18350470232888
ENSOCUG00000000185	rabA440	control	adult	3.72109303722381
ENSOCUG00000000185	rabA443	RHDV-1_24	adult	4.41106859634176
ENSOCUG00000000185	rabA444	RHDV-1_12	adult	3.80245845328058
ENSOCUG00000000185	rabA445	control	adult	3.06237073689907
ENSOCUG00000000185	rabA446	control	adult	5.20895556980618
ENSOCUG00000000185	rabA447	control	adult	3.61640450139047
ENSOCUG00000000185	rabA448	RHDV-1_24	adult	4.56987301806825
ENSOCUG00000000185	rabA449	RHDV-1_24	adult	4.36255404541745
ENSOCUG00000000185	rabA450	RHDV-1_24	adult	4.26622654213217
ENSOCUG00000000185	rabA451	RHDV-1_12	adult	3.46350314801471
ENSOCUG00000000185	rabA452	RHDV-1_12	adult	5.48141092284964
ENSOCUG00000000185	rabK10	RHDV-1_24	kitten	6.04586496566482
ENSOCUG00000000185	rabK11	control	kitten	6.34742419685736
ENSOCUG00000000185	rabK12	control	kitten	6.44868376593322
ENSOCUG00000000185	rabK13	RHDV-1_12	kitten	4.594277435586
ENSOCUG00000000185	rabK14	control	kitten	5.9088501208086
ENSOCUG00000000185	rabK1	RHDV-1_12	kitten	5.75760629983666
ENSOCUG00000000185	rabK2	control	kitten	5.97703992057338
ENSOCUG00000000185	rabK375	RHDV-2_24	kitten	2.62275054120674
ENSOCUG00000000185	rabK376	RHDV-2_24	kitten	5.51891752721693
ENSOCUG00000000185	rabK377	RHDV-2_24	kitten	4.9084782760433
ENSOCUG00000000185	rabK378	RHDV-2_24	kitten	3.86237488722548
ENSOCUG00000000185	rabK379	RHDV-2_12	kitten	6.53477108371008
ENSOCUG00000000185	rabK380	RHDV-2_12	kitten	5.65705164586685
ENSOCUG00000000185	rabK381	RHDV-2_12	kitten	4.53546788856002
ENSOCUG00000000185	rabK3	control	kitten	8.47026785978399
ENSOCUG00000000185	rabK4	RHDV-1_24	kitten	9.27804735277829
ENSOCUG00000000185	rabK5	RHDV-1_12	kitten	5.89548868739907
ENSOCUG00000000185	rabK6	RHDV-1_24	kitten	6.9868128517935
ENSOCUG00000000185	rabK7	RHDV-1_12	kitten	7.26454864160088
ENSOCUG00000000185	rabK8	RHDV-1_24	kitten	6.47958982795373
ENSOCUG00000000185	rabK9	control	kitten	6.09901747406667
ENSOCUG00000000249	rabA130	control	adult	3.1410579729645
ENSOCUG00000000249	rabA440	control	adult	2.72139640035771
ENSOCUG00000000249	rabA443	RHDV-1_24	adult	1.89045796986075
ENSOCUG00000000249	rabA444	RHDV-1_12	adult	1.80322772011244
ENSOCUG00000000249	rabA445	control	adult	0.853447582414495
ENSOCUG00000000249	rabA446	control	adult	2.2507832709039
ENSOCUG00000000249	rabA447	control	adult	0.539761865879175
ENSOCUG00000000249	rabA448	RHDV-1_24	adult	2.38258336839456
ENSOCUG00000000249	rabA449	RHDV-1_24	adult	1.22364320786099
ENSOCUG00000000249	rabA450	RHDV-1_24	adult	1.89162874981332
ENSOCUG00000000249	rabA451	RHDV-1_12	adult	4.04963444998643
ENSOCUG00000000249	rabA452	RHDV-1_12	adult	3.74797328058095
ENSOCUG00000000249	rabK10	RHDV-1_24	kitten	3.56274185476677
ENSOCUG00000000249	rabK11	control	kitten	3.67206358495881
ENSOCUG00000000249	rabK12	control	kitten	5.02397456183169
ENSOCUG00000000249	rabK13	RHDV-1_12	kitten	3.18536568867296
ENSOCUG00000000249	rabK14	control	kitten	5.71669239330263
ENSOCUG00000000249	rabK1	RHDV-1_12	kitten	7.53250749001188
ENSOCUG00000000249	rabK2	control	kitten	5.23761230153338
ENSOCUG00000000249	rabK375	RHDV-2_24	kitten	0.815966835042097
ENSOCUG00000000249	rabK376	RHDV-2_24	kitten	1.06999421446043
ENSOCUG00000000249	rabK377	RHDV-2_24	kitten	0.648289583628361
ENSOCUG00000000249	rabK378	RHDV-2_24	kitten	1.26734175987086
ENSOCUG00000000249	rabK379	RHDV-2_12	kitten	1.17040676126151
ENSOCUG00000000249	rabK380	RHDV-2_12	kitten	1.19328433155004
ENSOCUG00000000249	rabK381	RHDV-2_12	kitten	2.67666957357641
ENSOCUG00000000249	rabK3	control	kitten	3.33404160438306
ENSOCUG00000000249	rabK4	RHDV-1_24	kitten	4.85580048369705
ENSOCUG00000000249	rabK5	RHDV-1_12	kitten	2.75444963263727
ENSOCUG00000000249	rabK6	RHDV-1_24	kitten	3.51783584146246
ENSOCUG00000000249	rabK7	RHDV-1_12	kitten	5.20075641387336
